simulation,total_cost,build_cost,inservice_cost
357,3731840.22645015,3601771.009172406,130069.2172777444
358,4113264.9919581367,3968838.1926720976,144426.79928603856
359,3405844.009697001,3269047.4920179127,136796.51767908817
360,4489841.65174751,4345122.500026506,144719.1517210037
361,5104710.429658739,4955692.615235241,149017.8144234988
362,4062016.9953245963,3915874.8728389875,146142.12248560903
363,4109261.6225221306,3966952.8317939076,142308.79072822336
364,4436245.163820833,4290343.092735694,145902.07108513822
365,3812824.5356560024,3669561.8205880774,143262.71506792476
366,3944253.1922971336,3800286.6884218357,143966.50387529779
367,3945826.8336965926,3787989.9786263388,157836.8550702538
368,4002897.0377463065,3868376.906073551,134520.1316727554
369,3741349.9232780174,3595966.616692792,145383.30658522493
370,4015391.797773935,3873884.528621063,141507.26915287192
371,4445554.728843309,4296764.3981301645,148790.33071314497
372,5262430.425815847,5095606.6124797175,166823.81333612965
373,4507949.68134946,4361585.248095557,146364.43325390288
374,5453223.31998263,5283735.368949899,169487.95103272982
375,3664087.055107578,3528922.18179676,135164.87331081758
376,4640963.807913807,4477294.30272443,163669.50518937636
377,4231346.855109158,4083624.001782204,147722.8533269539
378,5341780.680514168,5167815.2177229915,173965.4627911775
379,3810372.1454057135,3674280.682285812,136091.46311990192
380,3731930.4379185024,3582798.540751027,149131.89716747508
381,3766483.7359699747,3630307.388055151,136176.3479148243
382,2790454.2152431216,2687370.8826287924,103083.33261432934
383,3635868.3655044422,3492350.4706274853,143517.89487695723
384,3351488.710910563,3222215.863728295,129272.84718226774
385,4263295.898400627,4121955.6520320904,141340.2463685368
386,4254798.566266669,4109704.323174377,145094.24309229187
387,5167544.593240039,5012645.52308188,154899.07015816128
388,4731334.502696664,4560194.39732985,171140.1053668134
389,3707173.3036754527,3571496.809918195,135676.4937572577
390,3226015.4440111774,3106590.311334684,119425.13267649307
391,4395572.937491851,4247476.501070201,148096.43642165017
392,3148629.8233949495,3009923.8000289737,138706.0233659758
393,5244544.292104532,5075042.304652756,169501.98745177686
394,4949733.44131277,4791186.472009887,158546.96930288305
395,3775476.209752667,3642528.6155264205,132947.59422624717
396,2962484.834926061,2843465.7339968844,119019.10092917598
397,5042342.71614063,4865484.237921217,176858.4782194131
398,3723940.415770709,3576900.385379677,147040.03039103196
399,4890425.058661191,4751520.005748171,138905.05291301946
400,3181391.0979156266,3064724.284188533,116666.81372709302
401,3633695.7843168704,3491713.635219357,141982.14909751338
402,3974884.166318273,3807383.394000407,167500.77231786543
403,3871333.2151722116,3726938.6882545254,144394.5269176864
404,3609355.2983705956,3475226.6075239796,134128.6908466166
405,4672555.999287267,4516200.753809165,156355.24547810212
406,3407813.511758143,3276413.5058585447,131400.00589959815
407,3659205.0025339713,3525692.592654666,133512.40987930578
408,4263770.248972941,4106218.672809875,157551.5761630656
409,4282728.700602612,4123013.587007561,159715.11359505157
410,4403913.875367407,4248621.40252868,155292.4728387274
411,3460614.1077650487,3328652.714698066,131961.3930669829
412,3116064.4583010217,3002418.0222459747,113646.43605504668
413,5023960.216258774,4872327.055556774,151633.16070199962
414,4218409.695017993,4066181.010092579,152228.6849254153
415,3658996.492296126,3525343.1909321207,133653.3013640062
416,5111165.512058137,4935628.054405523,175537.45765261498
417,4066317.652160185,3918133.8267864543,148183.82537373045
418,4855024.820808191,4694223.523047274,160801.29776091644
419,4015920.9023398934,3879853.6032146486,136067.29912524478
420,5234467.396924661,5050610.766319883,183856.6306047769
421,5230540.000798579,5053802.0017719045,176737.9990266741
422,4075020.9533797167,3926208.269790063,148812.6835896541
423,4559871.754670097,4412734.217670641,147137.53699945478
424,4203079.406358634,4049729.396998622,153350.00936001237
425,4877983.6393626,4699309.089190704,178674.55017189513
426,3768003.546398345,3628041.9484945713,139961.59790377363
427,4517777.373953433,4360811.6319444375,156965.74200899518
428,4820430.775406372,4649609.769855674,170821.0055506962
429,2909653.5589811504,2800590.50706435,109063.05191680066
430,3275240.2265514173,3149183.3039330645,126056.92261835319
431,2902750.186654061,2778886.1838933807,123864.00276068042
432,3772165.0982151562,3635936.6245348593,136228.47368029688
433,4476212.690782312,4327158.1900704475,149054.50071186438
434,4953047.14165201,4786673.465067729,166373.6765842802
435,4021049.2053214097,3873444.7815204947,147604.42380091525
436,5002852.339423157,4862577.941228089,140274.39819506844
437,3062253.979747851,2942457.1266121888,119796.85313566163
438,3528939.015644164,3387302.7105489518,141636.30509521163
439,4011533.668050584,3873060.8971693334,138472.77088125018
440,4102009.3467626176,3952924.1232637786,149085.22349883904
441,3675722.207795103,3533173.742018243,142548.46577686034
442,2796431.19606236,2678409.6144019035,118021.58166045701
443,3975605.8390022307,3839354.108760726,136251.73024150394
444,3332262.7425009403,3204851.1246532844,127411.61784765586
445,4470902.739044848,4311598.153788642,159304.5852562057
446,4254878.509823686,4101339.964453551,153538.54537013586
447,3228473.585820943,3110377.2611016096,118096.32471933366
448,3607854.7770954045,3477577.173992035,130277.6031033692
449,3242450.392836136,3107057.4140976183,135392.9787385173
450,3940569.8471305817,3790501.6130934847,150068.23403709652
451,4808748.596251911,4648136.754593466,160611.8416584442
452,3387587.6813133163,3246317.8346342547,141269.84667906084
453,4565247.856345493,4402939.342976274,162308.51336921984
454,3686154.474441316,3564734.132841226,121420.34160009028
455,3356381.0846996307,3222387.7216673563,133993.36303227456
456,3767330.4221305307,3633764.830065635,133565.59206489517
