simulation,phase1_end,phase2_end,phase3_end,phase4_end,project_end
211,7.1343838942961,14.523296235888447,36.9852298672827,36.9852298672827,36.9852298672827
212,6.29847443291688,14.421883587579526,37.66049213877881,37.66049213877881,37.66049213877881
213,6.7547785746754805,14.190283559738585,37.15277901488615,37.15277901488615,37.15277901488615
214,7.46942703151413,14.178507955377494,36.95381765448972,36.95381765448972,36.95381765448972
215,7.707811317660459,14.738044658036642,37.48149782236171,37.48149782236171,37.48149782236171
216,7.109176436229845,13.42395386026713,37.323887001834265,37.323887001834265,37.323887001834265
217,6.821329871015148,12.93604417633117,36.556695803456066,36.556695803456066,36.556695803456066
218,6.017592262591028,13.997616038887582,36.84095224852949,36.84095224852949,36.84095224852949
219,5.7794092209381045,15.498952901991183,37.5982311933347,37.5982311933347,37.5982311933347
220,6.166898427730135,13.589120059085491,36.65440732321706,36.65440732321706,36.65440732321706
221,5.98236880517841,14.528274312593897,36.67547711733131,36.67547711733131,36.67547711733131
222,7.080670960470449,14.613219020582697,36.92224368999779,36.92224368999779,36.92224368999779
223,7.387122485028627,13.52268405690307,36.69372200029363,36.69372200029363,36.69372200029363
224,6.364729939639134,14.61729315706661,36.78967077815139,36.78967077815139,36.78967077815139
225,6.390369591337471,12.907620292786099,37.42667545593432,37.42667545593432,37.42667545593432
226,6.2304744222383786,15.46047309424936,37.14833345308333,37.14833345308333,37.14833345308333
227,6.284288352546834,13.418909121037144,37.301546512319305,37.301546512319305,37.301546512319305
228,5.809952755339471,16.084361469282744,36.637135115405,36.637135115405,36.637135115405
229,7.321582340104413,14.699667975136716,36.93246679584417,36.93246679584417,36.93246679584417
230,8.326500695500922,15.02396435676849,36.89011885194573,36.89011885194573,36.89011885194573
231,6.737796621889937,14.97197605941079,36.14769518097297,36.14769518097297,36.14769518097297
232,6.526619762977105,13.645798970119053,37.73739157865706,37.73739157865706,37.73739157865706
233,7.009095900132865,14.524744736983026,36.737945685015035,36.737945685015035,36.737945685015035
234,6.879220520843109,16.52454791264219,36.99856202989146,36.99856202989146,36.99856202989146
235,6.687118959605591,14.862249836357186,36.69380610868322,36.69380610868322,36.69380610868322
236,7.654553412827748,13.53965114098411,37.05643051861303,37.05643051861303,37.05643051861303
237,6.712586532179405,14.786070015762832,36.981117869073664,36.981117869073664,36.981117869073664
238,7.553473551804612,13.763778137379944,37.19128910048653,37.19128910048653,37.19128910048653
239,6.8983394845249695,14.363246848300848,38.1326105038259,38.1326105038259,38.1326105038259
240,5.618654156380492,14.253339404319371,36.68496596592653,36.68496596592653,36.68496596592653
241,8.120903047237501,15.069316265769302,37.147570988178884,37.147570988178884,37.147570988178884
242,7.778442684860774,14.215325629826525,36.386390907598226,36.386390907598226,36.386390907598226
243,5.074016804437685,13.666580087862718,37.3816053614623,37.3816053614623,37.3816053614623
244,7.012540180065515,13.191802533364843,36.81497315307304,36.81497315307304,36.81497315307304
245,5.540578476745432,15.215532792275518,36.76690725840549,36.76690725840549,36.76690725840549
246,6.352353847486643,13.313245712081624,36.86546124167282,36.86546124167282,36.86546124167282
247,5.916242678937226,13.287648447664498,36.89017468425737,36.89017468425737,36.89017468425737
248,5.570338891040205,15.395391749598424,37.669467742303084,37.669467742303084,37.669467742303084
249,5.903331637899601,13.13593489411576,37.34359144740353,37.34359144740353,37.34359144740353
250,5.4440318622741,14.612047260398601,36.739591610051335,36.739591610051335,36.739591610051335
251,7.198042022988285,13.460507252066744,37.307252189947555,37.307252189947555,37.307252189947555
252,6.893525921149507,14.336957538294543,36.78694775027022,36.78694775027022,36.78694775027022
253,6.85572684205449,15.031193244373329,36.73227666297009,36.73227666297009,36.73227666297009
254,6.35055139880637,15.089991256866343,36.7003795534318,36.7003795534318,36.7003795534318
255,6.6605343220983775,15.187500355070739,36.96638226256781,36.96638226256781,36.96638226256781
256,6.474427634770819,14.132543813428414,36.90863341629893,36.90863341629893,36.90863341629893
257,6.70656733568245,15.493819769752356,37.68371971537296,37.68371971537296,37.68371971537296
258,5.585136862805034,15.031679135627355,36.946447816798134,36.946447816798134,36.946447816798134
259,5.387738689752911,14.478137108090635,36.60488955199252,36.60488955199252,36.60488955199252
260,5.2973503380446925,14.696651235942944,37.92005773296513,37.92005773296513,37.92005773296513
261,7.262730470791271,14.276627659597587,36.839006277494285,36.839006277494285,36.839006277494285
262,6.845329423017383,14.834291174636942,37.66951065331207,37.66951065331207,37.66951065331207
263,7.0486475828909425,13.75512205250687,37.739891147045,37.739891147045,37.739891147045
264,5.6636511495129795,14.813685057191986,36.77167292701215,36.77167292701215,36.77167292701215
265,6.0132997726232045,14.505920504016308,37.598828476600225,37.598828476600225,37.598828476600225
266,6.584031830124782,14.526109860569681,37.222555859725546,37.222555859725546,37.222555859725546
267,8.224433436493058,14.458861692266403,38.07065300443363,38.07065300443363,38.07065300443363
268,6.139809793331716,12.298315521976324,36.91069611355877,36.91069611355877,36.91069611355877
269,6.033342081674676,14.039354271666419,36.7443486179158,36.7443486179158,36.7443486179158
270,6.143794186172111,13.762119955143032,37.321894233863546,37.321894233863546,37.321894233863546
271,6.48544593013593,14.453530916581347,37.424373803082894,37.424373803082894,37.424373803082894
272,8.077068249431068,12.520433130908186,37.18810138229303,37.18810138229303,37.18810138229303
273,7.210900995995328,16.509339389586977,37.55897417284566,37.55897417284566,37.55897417284566
274,6.501323142330122,13.353810123641157,36.96883057632716,36.96883057632716,36.96883057632716
275,7.34476290601371,14.022866616321904,36.72259713662819,36.72259713662819,36.72259713662819
276,6.8560688207819815,13.90966716175275,37.556714946434745,37.556714946434745,37.556714946434745
277,6.582125682776619,14.496255754989743,36.6692160103662,36.6692160103662,36.6692160103662
278,8.417080479872109,14.04620713961751,37.318871897554786,37.318871897554786,37.318871897554786
279,7.1043421827076445,14.83260081179593,37.19220497798681,37.19220497798681,37.19220497798681
